CO2 emissions goals,,
year,Reference,Policy
2010,177.5301494,177.5301494
2015,199.0743333,199.0743333
2020,198.2133569,176.322981
2030,230.8787698,130.8202762
2040,252.4489778,85.31757143
2050,268.5047181,39.81486667
