OBJECTID,gridcode,pkey,longitude,latitude
133,22203,22203,-38.2500000,82.7500000
134,22258,22258,-37.7500000,82.7500000
135,22310,22310,-37.2500000,82.7500000
136,22360,22360,-36.7500000,82.7500000
137,22410,22410,-36.2500000,82.7500000
138,22458,22458,-35.7500000,82.7500000
139,22504,22504,-35.2500000,82.7500000
140,22543,22543,-34.7500000,82.7500000
141,22578,22578,-34.2500000,82.7500000
142,22613,22613,-33.7500000,82.7500000
143,22649,22649,-33.2500000,82.7500000
144,22684,22684,-32.7500000,82.7500000
145,22718,22718,-32.2500000,82.7500000
146,22750,22750,-31.7500000,82.7500000
147,22784,22784,-31.2500000,82.7500000
148,22816,22816,-30.7500000,82.7500000
149,22848,22848,-30.2500000,82.7500000
150,22880,22880,-29.7500000,82.7500000
151,22914,22914,-29.2500000,82.7500000
152,22948,22948,-28.7500000,82.7500000
153,22981,22981,-28.2500000,82.7500000
154,23012,23012,-27.7500000,82.7500000
155,23043,23043,-27.2500000,82.7500000
156,23073,23073,-26.7500000,82.7500000
157,23103,23103,-26.2500000,82.7500000
158,23134,23134,-25.7500000,82.7500000
159,23168,23168,-25.2500000,82.7500000
160,23199,23199,-24.7500000,82.7500000
161,23233,23233,-24.2500000,82.7500000
162,23266,23266,-23.7500000,82.7500000
163,23300,23300,-23.2500000,82.7500000
164,23336,23336,-22.7500000,82.7500000
165,23369,23369,-22.2500000,82.7500000
166,23399,23399,-21.7500000,82.7500000
167,23424,23424,-21.2500000,82.7500000
168,9839,9839,-88.2500000,82.2500000
169,9938,9938,-87.7500000,82.2500000
170,10129,10129,-86.7500000,82.2500000
171,10223,10223,-86.2500000,82.2500000
172,10324,10324,-85.7500000,82.2500000
173,10428,10428,-85.2500000,82.2500000
174,10531,10531,-84.7500000,82.2500000
175,10636,10636,-84.2500000,82.2500000
176,10745,10745,-83.7500000,82.2500000
177,10849,10849,-83.2500000,82.2500000
178,10948,10948,-82.7500000,82.2500000
179,11051,11051,-82.2500000,82.2500000
180,11151,11151,-81.7500000,82.2500000
181,11256,11256,-81.2500000,82.2500000
182,11352,11352,-80.7500000,82.2500000
183,11450,11450,-80.2500000,82.2500000
184,11546,11546,-79.7500000,82.2500000
185,11646,11646,-79.2500000,82.2500000
186,11749,11749,-78.7500000,82.2500000
187,11866,11866,-78.2500000,82.2500000
188,11993,11993,-77.7500000,82.2500000
189,12128,12128,-77.2500000,82.2500000
190,12266,12266,-76.7500000,82.2500000
191,12406,12406,-76.2500000,82.2500000
192,12546,12546,-75.7500000,82.2500000
193,12690,12690,-75.2500000,82.2500000
194,12833,12833,-74.7500000,82.2500000
195,12986,12986,-74.2500000,82.2500000
196,13147,13147,-73.7500000,82.2500000
197,13308,13308,-73.2500000,82.2500000
198,13479,13479,-72.7500000,82.2500000
199,13654,13654,-72.2500000,82.2500000
200,13840,13840,-71.7500000,82.2500000
201,14033,14033,-71.2500000,82.2500000
202,14229,14229,-70.7500000,82.2500000
203,14438,14438,-70.2500000,82.2500000
204,14644,14644,-69.7500000,82.2500000
205,14847,14847,-69.2500000,82.2500000
206,15044,15044,-68.7500000,82.2500000
207,15237,15237,-68.2500000,82.2500000
208,15424,15424,-67.7500000,82.2500000
209,15609,15609,-67.2500000,82.2500000
210,15789,15789,-66.7500000,82.2500000
211,15964,15964,-66.2500000,82.2500000
212,16136,16136,-65.7500000,82.2500000
213,16305,16305,-65.2500000,82.2500000
214,16475,16475,-64.7500000,82.2500000
215,16636,16636,-64.2500000,82.2500000
216,16792,16792,-63.7500000,82.2500000
217,16943,16943,-63.2500000,82.2500000
218,17091,17091,-62.7500000,82.2500000
219,17234,17234,-62.2500000,82.2500000
220,17378,17378,-61.7500000,82.2500000
221,17519,17519,-61.2500000,82.2500000
222,17908,17908,-59.7500000,82.2500000
223,18157,18157,-58.7500000,82.2500000
224,18280,18280,-58.2500000,82.2500000
225,18402,18402,-57.7500000,82.2500000
226,18523,18523,-57.2500000,82.2500000
227,18639,18639,-56.7500000,82.2500000
228,18757,18757,-56.2500000,82.2500000
229,18875,18875,-55.7500000,82.2500000
230,18989,18989,-55.2500000,82.2500000
231,19104,19104,-54.7500000,82.2500000
232,19220,19220,-54.2500000,82.2500000
233,19338,19338,-53.7500000,82.2500000
234,19457,19457,-53.2500000,82.2500000
235,19573,19573,-52.7500000,82.2500000
236,19687,19687,-52.2500000,82.2500000
237,19800,19800,-51.7500000,82.2500000
238,19912,19912,-51.2500000,82.2500000
239,20020,20020,-50.7500000,82.2500000
240,20128,20128,-50.2500000,82.2500000
241,20230,20230,-49.7500000,82.2500000
242,20332,20332,-49.2500000,82.2500000
243,20434,20434,-48.7500000,82.2500000
244,20531,20531,-48.2500000,82.2500000
245,20626,20626,-47.7500000,82.2500000
246,20720,20720,-47.2500000,82.2500000
247,20813,20813,-46.7500000,82.2500000
248,20906,20906,-46.2500000,82.2500000
249,20998,20998,-45.7500000,82.2500000
250,21091,21091,-45.2500000,82.2500000
251,21183,21183,-44.7500000,82.2500000
252,21274,21274,-44.2500000,82.2500000
253,21364,21364,-43.7500000,82.2500000
254,21455,21455,-43.2500000,82.2500000
255,21542,21542,-42.7500000,82.2500000
256,21628,21628,-42.2500000,82.2500000
257,21710,21710,-41.7500000,82.2500000
258,21793,21793,-41.2500000,82.2500000
259,21873,21873,-40.7500000,82.2500000
260,21947,21947,-40.2500000,82.2500000
261,22019,22019,-39.7500000,82.2500000
262,22085,22085,-39.2500000,82.2500000
263,22146,22146,-38.7500000,82.2500000
264,22202,22202,-38.2500000,82.2500000
265,22257,22257,-37.7500000,82.2500000
266,22309,22309,-37.2500000,82.2500000
267,22359,22359,-36.7500000,82.2500000
268,22409,22409,-36.2500000,82.2500000
269,22457,22457,-35.7500000,82.2500000
270,22503,22503,-35.2500000,82.2500000
271,22542,22542,-34.7500000,82.2500000
272,22577,22577,-34.2500000,82.2500000
273,22612,22612,-33.7500000,82.2500000
274,22648,22648,-33.2500000,82.2500000
275,22683,22683,-32.7500000,82.2500000
276,22717,22717,-32.2500000,82.2500000
277,22749,22749,-31.7500000,82.2500000
278,22783,22783,-31.2500000,82.2500000
279,22815,22815,-30.7500000,82.2500000
280,22847,22847,-30.2500000,82.2500000
281,22879,22879,-29.7500000,82.2500000
282,22913,22913,-29.2500000,82.2500000
283,22947,22947,-28.7500000,82.2500000
284,22980,22980,-28.2500000,82.2500000
285,23011,23011,-27.7500000,82.2500000
