INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade1,0,1e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade2,0.0298888888888889,1.1358024691358e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade3,0.0597777777777778,2.08641975308642e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade4,0.0896666666666667,4.66666666666667e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade5,0.119555555555556,9.69135802469136e-05
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade6,0.149444444444444,0.000179753086419753
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade7,0.179333333333333,0.000303333333333333
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade8,0.209222222222222,0.000475802469135803
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade9,0.239111111111111,0.000705308641975309
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade10,0.269,0.001
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade11,0.3421,0.125869020734238
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade12,0.4152,0.488127397637472
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade13,0.4883,1.07167337041848
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade14,0.5614,1.86040517878602
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade15,0.6345,2.83822106244889
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade16,0.7076,3.98901926111584
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade17,0.7807,5.29669801449565
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade18,0.8538,6.7451555622971
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade19,0.9269,8.31829014422896
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,grade20,1,10
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade1,0,1e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade2,0.0408888888888889,1.1358024691358e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade3,0.0817777777777778,2.08641975308642e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade4,0.122666666666667,4.66666666666667e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade5,0.163555555555556,9.69135802469136e-05
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade6,0.204444444444444,0.000179753086419753
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade7,0.245333333333333,0.000303333333333333
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade8,0.286222222222222,0.000475802469135803
Africa_Northern,Africa-North West Coast-water withdrawals,runoff,grade9,0.327111111111111,0.000705308641975309
