scenario,region,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units
"Reference,date=2019-27-6T18:19:55+17:00",Indonesia,hydro,0.0205488,0.03861,0.0636336,0.0643101,0.0649865,0.065663,0.0663395,0.0670159,0.0690624,0.071109,0.0731555,0.075202,0.0772485,0.079295,0.0813415,0.083388,0.0854345,0.0874811,0.0895276,0.0915741,0.0915741,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Japan,hydro,0.321498,0.275292,0.295963,0.294981,0.293999,0.293016,0.292034,0.291052,0.294216,0.29738,0.300544,0.303708,0.306872,0.310036,0.3132,0.316365,0.319529,0.322693,0.325857,0.329021,0.329021,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Mexico,hydro,0.0845208,0.0995724,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,0.133636,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Middle East,hydro,0.04293,0.0992016,0.064242,0.0855464,0.106966,0.128386,0.149805,0.171225,0.202866,0.234507,0.266148,0.297789,0.329429,0.36107,0.392711,0.424352,0.455993,0.487634,0.519275,0.550916,0.550916,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Pakistan,hydro,0.06093,0.111103,0.11452,0.117706,0.120892,0.124078,0.127264,0.13045,0.140089,0.149728,0.159367,0.169006,0.178645,0.188284,0.197923,0.207562,0.217201,0.22684,0.23648,0.246118,0.246118,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Russia,hydro,0.597301,0.621637,0.599339,0.636624,0.673909,0.711195,0.74848,0.785765,0.827183,0.868601,0.910019,0.951437,0.992855,1.03427,1.07569,1.11711,1.15853,1.19994,1.24136,1.28278,1.28278,EJ
"Reference,date=2019-27-6T18:19:55+17:00",South Africa,hydro,0.003636,0.0047952,0.0076968,0.007887,0.0080772,0.0082674,0.0084576,0.0086478,0.0090258,0.0094037,0.0097816,0.0101596,0.0105375,0.0109155,0.0112934,0.0116714,0.0120493,0.0124272,0.0128052,0.0131831,0.0131831,EJ
"Reference,date=2019-27-6T18:19:55+17:00",South America_Northern,hydro,0.135365,0.280561,0.279418,0.282905,0.258335,0.289879,0.293366,0.296853,0.303009,0.309166,0.315323,0.321479,0.327636,0.333792,0.339949,0.346105,0.352262,0.358418,0.364575,0.370731,0.370731,EJ
"Reference,date=2019-27-6T18:19:55+17:00",South America_Southern,hydro,0.189803,0.37647,0.384289,0.415444,0.447002,0.47856,0.510117,0.541675,0.597393,0.653111,0.708829,0.764547,0.820265,0.875983,0.931701,0.98742,1.04314,1.09886,1.15457,1.21029,1.21029,EJ
"Reference,date=2019-27-6T18:19:55+17:00",South Asia,hydro,0.0268079,0.0463089,0.0710383,0.0749133,0.0787882,0.0826631,0.0865381,0.090413,0.102136,0.113859,0.125581,0.137304,0.149027,0.16075,0.172473,0.184196,0.195918,0.207641,0.219364,0.231087,0.231087,EJ
"Reference,date=2019-27-6T18:19:55+17:00",South Korea,hydro,0.0228996,0.0132228,0.0139644,0.0151472,0.0170392,0.0189311,0.0208231,0.0227151,0.0258792,0.0290433,0.0322074,0.0353714,0.0385355,0.0416996,0.0448637,0.0480278,0.0511919,0.054356,0.0575201,0.0606842,0.0606842,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Southeast Asia,hydro,0.141032,0.19957,0.254132,0.26494,0.275747,0.286555,0.297363,0.30817,0.338521,0.368871,0.399221,0.429571,0.459921,0.490271,0.520621,0.550971,0.581321,0.611671,0.642021,0.672371,0.672371,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Taiwan,hydro,0.0229716,0.0143496,0.0150984,0.0154475,0.0157965,0.0161456,0.0164946,0.0168437,0.0178996,0.0189556,0.0200116,0.0210676,0.0221236,0.0231796,0.0242355,0.0252915,0.0263475,0.0274035,0.0284595,0.0295155,0.0295155,EJ
"Reference,date=2019-27-6T18:19:55+17:00",USA,hydro,0.983347,0.981803,0.945313,0.954109,0.96406,0.974012,0.983963,0.993915,0.998283,1.00265,1.00702,1.01139,1.01576,1.02013,1.02449,1.02886,1.03323,1.0376,1.04197,1.04634,1.04634,EJ
"Reference,date=2019-27-6T18:19:55+17:00",Uruguay,hydro,0.020165792,0.019227849,0.023621224,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,0.023970284,EJ
